room_type,person_capacity,space_type,region,country,total_booked_nights,total_available_or_booked_nights,month
Entire home/apt,2,Apartment,Westland,Springfield,10.0,29.0,3/1/18
Private room,2,House,Westland,Springfield,0.0,17.0,3/1/18
Entire home/apt,7,Apartment,Essos,Bear Island,12.0,21.0,3/1/18
Entire home/apt,6,House,Essos,Pike's Peak,2.0,12.0,3/1/18
Private room,2,Cabin,Westland,Springfield,4.0,17.0,3/1/18
Entire home/apt,2,Cabin,Essos,Bear Island,3.0,23.0,3/1/18
Entire home/apt,4,House,Westland,Springfield,8.0,16.0,3/1/18
Entire home/apt,8,House,Hogwarts,Dragonstone,12.0,23.0,3/1/18
Entire home/apt,3,Apartment,Hogwarts,Dragonstone,13.0,28.0,3/1/18
Entire home/apt,5,Apartment,Essos,High Garden,28.0,35.0,3/1/18
Private room,2,Apartment,Southland,Dorne,13.0,153.0,3/1/18
Entire home/apt,3,Cabin,Westland,Springfield,3.0,11.0,3/1/18
Entire home/apt,4,Apartment,Essos,Bear Island,2.0,2.0,3/1/18
Entire home/apt,2,Cabin,Westland,Springfield,8.0,29.0,3/1/18
Entire home/apt,8,House,Essos,Bear Island,6.0,26.0,3/1/18
Entire home/apt,7,House,Westland,Springfield,8.0,29.0,3/1/18
Entire home/apt,2,Apartment,Southland,Lannisport,157.0,157.0,3/1/18
Entire home/apt,2,House,Westland,Westeros,16.0,32.0,3/1/18
Entire home/apt,3,Cabin,Southland,Dorne,9.0,85.0,3/1/18
Entire home/apt,6,Apartment,Westland,Springfield,1.0,29.0,3/1/18
Entire home/apt,5,House,Westland,Springfield,15.0,29.0,3/1/18
Entire home/apt,9,Cabin,Essos,Bear Island,9.0,21.0,3/1/18
Entire home/apt,5,Cabin,Hogwarts,Crownland,11.0,15.0,3/1/18
Entire home/apt,2,Apartment,La La Land,Iron Islands,9.0,28.0,3/1/18
Entire home/apt,4,Cabin,Westland,Westeros,7.0,19.0,3/1/18
Entire home/apt,4,Apartment,Westland,Westeros,19.0,35.0,3/1/18
Entire home/apt,3,Apartment,Southland,Lannisport,18.0,117.0,3/1/18
Entire home/apt,4,Cabin,Westland,Springfield,0.0,28.0,3/1/18
Entire home/apt,6,Apartment,La La Land,Hornhill,12.0,25.0,3/1/18
Entire home/apt,4,Apartment,Westland,Westeros,19.0,35.0,3/1/18
Entire home/apt,2,Cabin,Essos,Pike's Peak,33.0,36.0,3/1/18
Entire home/apt,4,Cabin,Hogwarts,Dragonstone,24.0,33.0,3/1/18
Entire home/apt,4,Cabin,Westland,Springfield,9.0,23.0,3/1/18
Entire home/apt,4,Apartment,Southland,King's Landing,13.0,117.0,3/1/18
Entire home/apt,2,Apartment,Southland,River run,22.0,130.0,3/1/18
Entire home/apt,5,House,Essos,Pike's Peak,2.0,38.0,3/1/18
Entire home/apt,3,Apartment,Southland,Lannisport,103.0,112.0,3/1/18
Entire home/apt,2,Apartment,Southland,King's Landing,36.0,117.0,3/1/18
Entire home/apt,10,House,Essos,Pike's Peak,19.0,31.0,3/1/18
Entire home/apt,4,House,Westland,Springfield,7.0,29.0,3/1/18
Entire home/apt,2,Cabin,Westland,Springfield,12.0,28.0,3/1/18
Entire home/apt,11,House,Westland,Springfield,5.0,27.0,3/1/18
Entire home/apt,3,Apartment,Southland,Dorne,130.0,193.0,3/1/18
Entire home/apt,6,House,Westland,Springfield,24.0,29.0,3/1/18
Entire home/apt,4,House,Westland,Westeros,14.0,32.0,3/1/18
Entire home/apt,2,Apartment,Essos,Pike's Peak,1.0,25.0,3/1/18
Private room,2,House,Westland,Springfield,24.0,28.0,3/1/18
Entire home/apt,2,Apartment,Essos,Pike's Peak,6.0,21.0,3/1/18
Entire home/apt,2,Apartment,Essos,Bear Island,4.0,20.0,3/1/18
Entire home/apt,6,House,Westland,Springfield,5.0,20.0,3/1/18
Entire home/apt,6,House,Westland,Springfield,14.0,16.0,3/1/18
Entire home/apt,3,Cabin,Westland,Springfield,11.0,24.0,3/1/18
Entire home/apt,2,Apartment,Westland,Westeros,12.0,33.0,3/1/18
Entire home/apt,5,Cabin,Hogwarts,Dragonstone,32.0,33.0,3/1/18
Private room,4,House,Westland,Springfield,8.0,24.0,3/1/18
Entire home/apt,8,Apartment,Essos,Pike's Peak,1.0,4.0,3/1/18
Private room,2,House,Westland,Westeros,0.0,34.0,3/1/18
Entire home/apt,6,Apartment,Westland,Springfield,19.0,29.0,3/1/18
Entire home/apt,6,House,Westland,Springfield,8.0,18.0,3/1/18
Entire home/apt,3,Apartment,Essos,Bear Island,12.0,26.0,3/1/18
Entire home/apt,2,Apartment,Westland,Springfield,7.0,14.0,3/1/18
Entire home/apt,4,House,Essos,Bear Island,2.0,10.0,3/1/18
Entire home/apt,2,Apartment,Essos,Pike's Peak,20.0,40.0,3/1/18
Entire home/apt,4,Apartment,Southland,King's Landing,0.0,139.0,3/1/18
Entire home/apt,6,House,Westland,Springfield,6.0,16.0,3/1/18
Shared room,1,Apartment,Southland,King's Landing,9.0,121.0,3/1/18
Entire home/apt,6,House,Westland,Springfield,1.0,29.0,3/1/18
Entire home/apt,5,Apartment,Hogwarts,Dragonstone,27.0,33.0,3/1/18
Entire home/apt,6,Cabin,Westland,Springfield,4.0,7.0,3/1/18
Private room,3,Cabin,La La Land,Tarth,2.0,12.0,3/1/18
Entire home/apt,4,Apartment,Westland,Springfield,21.0,29.0,3/1/18
Entire home/apt,2,Apartment,Essos,Pike's Peak,8.0,34.0,3/1/18
Entire home/apt,6,Cabin,Southland,Dorne,0.0,189.0,3/1/18
Private room,2,Cabin,Westland,Springfield,1.0,29.0,3/1/18
Entire home/apt,7,House,Westland,Springfield,1.0,15.0,3/1/18
Entire home/apt,10,House,Westland,Springfield,4.0,21.0,3/1/18
Entire home/apt,4,Apartment,Southland,King's Landing,27.0,49.0,3/1/18
Entire home/apt,15,House,Essos,Pike's Peak,2.0,41.0,3/1/18
Entire home/apt,2,Cabin,Westland,Springfield,7.0,29.0,3/1/18
Entire home/apt,6,Apartment,Hogwarts,Dragonstone,9.0,32.0,3/1/18
Private room,1,House,Westland,Springfield,17.0,29.0,3/1/18
Entire home/apt,4,Apartment,La La Land,Iron Islands,12.0,58.0,3/1/18
Entire home/apt,2,Cabin,Westland,Springfield,25.0,30.0,3/1/18
Entire home/apt,4,Apartment,Westland,Springfield,24.0,28.0,3/1/18
Entire home/apt,2,Apartment,Westland,Springfield,1.0,2.0,3/1/18
Entire home/apt,3,Apartment,Hogwarts,Crownland,29.0,39.0,3/1/18
Entire home/apt,2,Apartment,Westland,Springfield,13.0,29.0,3/1/18
Entire home/apt,2,House,Hogwarts,Dragonstone,11.0,19.0,3/1/18
Entire home/apt,4,House,Westland,Springfield,1.0,4.0,3/1/18
Entire home/apt,5,House,Westland,Springfield,19.0,26.0,3/1/18
Entire home/apt,2,House,Westland,Springfield,14.0,17.0,3/1/18
Entire home/apt,4,Apartment,Southland,Lannisport,27.0,72.0,3/1/18
Entire home/apt,3,Apartment,Southland,King's Landing,4.0,27.0,3/1/18
Entire home/apt,5,Cabin,Southland,Dorne,27.0,130.0,3/1/18
Entire home/apt,4,Apartment,Westland,Springfield,5.0,19.0,3/1/18
Entire home/apt,6,Apartment,Westland,Springfield,2.0,27.0,3/1/18
Private room,1,Hotel,Southland,Dorne,22.0,162.0,3/1/18
Entire home/apt,6,Apartment,Westland,Springfield,20.0,28.0,3/1/18
Entire home/apt,3,Cabin,Westland,Springfield,14.0,28.0,3/1/18
Entire home/apt,6,Apartment,Westland,Springfield,3.0,26.0,3/1/18
Entire home/apt,8,House,Hogwarts,Dragonstone,10.0,26.0,3/1/18
Entire home/apt,4,Cabin,Westland,Springfield,2.0,23.0,3/1/18
Entire home/apt,8,House,Southland,Dorne,0.0,13.0,3/1/18
Entire home/apt,2,Apartment,La La Land,Iron Islands,4.0,5.0,3/1/18
Entire home/apt,10,House,Westland,Springfield,6.0,28.0,3/1/18
Private room,2,House,Westland,Springfield,23.0,28.0,3/1/18
Entire home/apt,2,Apartment,Essos,Bear Island,15.0,25.0,3/1/18
Entire home/apt,4,House,Westland,Springfield,18.0,29.0,3/1/18
Entire home/apt,5,Cabin,Southland,King's Landing,13.0,58.0,3/1/18
Entire home/apt,2,Apartment,Southland,King's Landing,112.0,117.0,3/1/18
Entire home/apt,4,House,Westland,Springfield,2.0,6.0,3/1/18
Entire home/apt,9,Cabin,Westland,Springfield,6.0,23.0,3/1/18
Entire home/apt,3,Apartment,Southland,King's Landing,40.0,144.0,3/1/18
Entire home/apt,4,Cabin,Westland,Springfield,2.0,29.0,3/1/18
Private room,2,Cabin,Southland,King's Landing,54.0,135.0,3/1/18
Entire home/apt,3,House,Westland,Springfield,22.0,29.0,3/1/18
Entire home/apt,4,Cabin,Westland,Springfield,13.0,27.0,3/1/18
Entire home/apt,8,House,Westland,Springfield,6.0,29.0,3/1/18
Entire home/apt,6,House,Southland,Dorne,27.0,193.0,3/1/18
Entire home/apt,4,Apartment,Westland,Springfield,1.0,22.0,3/1/18
Entire home/apt,4,Cabin,Hogwarts,Dragonstone,4.0,16.0,3/1/18
Entire home/apt,9,Apartment,Southland,River run,85.0,121.0,3/1/18
Entire home/apt,4,Apartment,Southland,King's Landing,49.0,148.0,3/1/18
Entire home/apt,5,Apartment,Essos,Bear Island,6.0,26.0,3/1/18
Entire home/apt,4,Apartment,Westland,Westeros,8.0,22.0,3/1/18
Entire home/apt,2,Apartment,La La Land,Iron Islands,4.0,46.0,3/1/18
Entire home/apt,4,Apartment,Southland,King's Landing,31.0,99.0,3/1/18
Entire home/apt,2,Apartment,La La Land,Tarth,1.0,14.0,3/1/18
Entire home/apt,2,Cabin,Westland,Springfield,14.0,19.0,3/1/18
Entire home/apt,10,House,Hogwarts,Dragonstone,1.0,12.0,3/1/18
Entire home/apt,4,Apartment,Westland,Springfield,3.0,7.0,3/1/18
Entire home/apt,5,Apartment,Westland,Springfield,18.0,29.0,3/1/18
Private room,6,House,Essos,Pike's Peak,12.0,39.0,3/1/18
Entire home/apt,2,Apartment,Essos,Pike's Peak,13.0,29.0,3/1/18
Entire home/apt,6,Apartment,Essos,Bear Island,23.0,26.0,3/1/18
Entire home/apt,10,House,Essos,Pike's Peak,13.0,18.0,3/1/18
Entire home/apt,8,House,Westland,Springfield,7.0,29.0,3/1/18
Entire home/apt,8,House,Westland,Springfield,5.0,29.0,3/1/18
Entire home/apt,6,Cabin,Westland,Springfield,1.0,14.0,3/1/18
Entire home/apt,6,Apartment,Southland,River run,45.0,76.0,3/1/18
Entire home/apt,12,House,Westland,Springfield,6.0,22.0,3/1/18
Entire home/apt,10,House,Westland,Springfield,20.0,28.0,3/1/18
Entire home/apt,5,Apartment,La La Land,Tarth,7.0,10.0,3/1/18
Entire home/apt,2,Cabin,Westland,Westeros,0.0,29.0,3/1/18
Entire home/apt,8,Cabin,Hogwarts,Dragonstone,1.0,15.0,3/1/18
Private room,2,House,Westland,Springfield,12.0,20.0,3/1/18
Entire home/apt,4,House,Southland,Dorne,72.0,85.0,3/1/18
Entire home/apt,2,Cabin,Westland,Springfield,7.0,20.0,3/1/18
Entire home/apt,2,House,Hogwarts,Dragonstone,28.0,33.0,3/1/18
Entire home/apt,5,Apartment,Westland,Springfield,8.0,12.0,3/1/18
Entire home/apt,1,House,Westland,Springfield,25.0,29.0,3/1/18
Entire home/apt,3,Apartment,Essos,Pike's Peak,12.0,35.0,3/1/18
Private room,2,House,Southland,Dorne,45.0,148.0,3/1/18
Entire home/apt,8,Apartment,Essos,Pike's Peak,3.0,39.0,3/1/18
Entire home/apt,4,Apartment,Essos,Bear Island,17.0,22.0,3/1/18
Private room,2,House,Westland,Springfield,12.0,24.0,3/1/18
Private room,5,Cabin,Westland,Springfield,14.0,30.0,3/1/18
Entire home/apt,4,Apartment,Southland,King's Landing,76.0,144.0,3/1/18
Entire home/apt,5,Apartment,Westland,Springfield,4.0,29.0,3/1/18
Entire home/apt,8,House,Essos,Pike's Peak,3.0,37.0,3/1/18
Entire home/apt,14,House,Westland,Springfield,2.0,25.0,3/1/18
Entire home/apt,5,House,Westland,Springfield,8.0,18.0,3/1/18
Entire home/apt,2,Cabin,Westland,Springfield,4.0,14.0,3/1/18
Private room,4,Cabin,Westland,Springfield,8.0,10.0,3/1/18
Entire home/apt,8,Cabin,Westland,Springfield,7.0,22.0,3/1/18
Entire home/apt,6,Apartment,Westland,Springfield,5.0,26.0,3/1/18
Private room,1,Apartment,Westland,Springfield,9.0,25.0,3/1/18
Entire home/apt,2,Apartment,Westland,Springfield,9.0,30.0,3/1/18
Entire home/apt,10,Apartment,Westland,Springfield,10.0,18.0,3/1/18
Entire home/apt,4,Apartment,Southland,Dorne,18.0,193.0,3/1/18
Entire home/apt,4,House,Westland,Springfield,13.0,26.0,3/1/18
Entire home/apt,6,Cabin,Westland,Springfield,3.0,11.0,3/1/18
Entire home/apt,10,House,Westland,Springfield,4.0,28.0,3/1/18
Entire home/apt,2,Apartment,Westland,Springfield,16.0,29.0,3/1/18
Entire home/apt,8,House,Westland,Springfield,5.0,5.0,3/1/18
Private room,2,Cabin,Essos,Bear Island,12.0,26.0,3/1/18
Entire home/apt,4,Apartment,Southland,River run,22.0,162.0,3/1/18
Entire home/apt,8,House,Westland,Springfield,2.0,8.0,3/1/18
Entire home/apt,4,Apartment,Westland,Springfield,24.0,29.0,3/1/18
Entire home/apt,4,Cabin,Southland,Dorne,45.0,63.0,3/1/18
Entire home/apt,7,House,Westland,Springfield,18.0,24.0,3/1/18
Entire home/apt,4,Apartment,Hogwarts,Dragonstone,19.0,33.0,3/1/18
Entire home/apt,5,House,Westland,Springfield,5.0,12.0,3/1/18
Private room,4,Hotel,Hogwarts,Crownland,6.0,32.0,3/1/18
Entire home/apt,6,Cabin,Westland,Springfield,13.0,28.0,3/1/18
Hotel room,2,Hotel,Essos,Bear Island,0.0,15.0,3/1/18
Entire home/apt,1,Apartment,Southland,River run,63.0,139.0,3/1/18
Entire home/apt,8,House,Westland,Springfield,2.0,19.0,3/1/18
Entire home/apt,8,Apartment,Essos,Bear Island,0.0,25.0,3/1/18
Entire home/apt,2,Apartment,Essos,Pike's Peak,18.0,21.0,3/1/18
Entire home/apt,2,Apartment,Southland,River run,0.0,72.0,3/1/18
Entire home/apt,9,House,Westland,Westeros,11.0,31.0,3/1/18
Entire home/apt,3,Cabin,Westland,Springfield,6.0,29.0,3/1/18
Entire home/apt,6,Apartment,Westland,Springfield,9.0,30.0,3/1/18
Private room,2,House,Westland,Springfield,25.0,29.0,3/1/18
Entire home/apt,5,Apartment,Hogwarts,Dragonstone,13.0,29.0,3/1/18
Entire home/apt,8,Apartment,Westland,Springfield,5.0,10.0,3/1/18
Entire home/apt,2,Apartment,Essos,Pike's Peak,4.0,15.0,3/1/18
Entire home/apt,4,House,Westland,Springfield,20.0,28.0,3/1/18
Entire home/apt,6,Apartment,Westland,Springfield,4.0,26.0,3/1/18
Entire home/apt,2,Apartment,Westland,Springfield,2.0,29.0,3/1/18
Entire home/apt,2,Cabin,Southland,Dorne,27.0,193.0,3/1/18
Entire home/apt,6,Apartment,Essos,Pike's Peak,17.0,21.0,3/1/18
Entire home/apt,4,Apartment,Southland,King's Landing,94.0,139.0,3/1/18
Entire home/apt,4,House,Westland,Springfield,17.0,25.0,3/1/18
Entire home/apt,3,Apartment,Southland,Dorne,72.0,112.0,3/1/18
Entire home/apt,9,House,La La Land,Oldtown,1.0,2.0,3/1/18
Entire home/apt,5,House,Essos,Bear Island,1.0,2.0,3/1/18
Entire home/apt,5,Apartment,Essos,High Garden,11.0,37.0,3/1/18
Entire home/apt,4,Apartment,Westland,Springfield,23.0,29.0,3/1/18
Entire home/apt,12,House,Westland,Westeros,13.0,29.0,3/1/18
Private room,2,Hotel,Westland,Springfield,9.0,29.0,3/1/18
Entire home/apt,4,House,Westland,Westeros,16.0,35.0,3/1/18
Entire home/apt,2,Apartment,Westland,Springfield,14.0,30.0,3/1/18
Entire home/apt,16,House,Essos,Pike's Peak,24.0,27.0,3/1/18
Entire home/apt,6,House,Westland,Springfield,2.0,17.0,3/1/18
Entire home/apt,4,Cabin,Hogwarts,Dragonstone,7.0,12.0,3/1/18
Entire home/apt,5,Apartment,La La Land,Oldtown,25.0,26.0,3/1/18
Entire home/apt,6,Cabin,Southland,Lannisport,58.0,171.0,3/1/18
Private room,2,House,Westland,Springfield,1.0,9.0,3/1/18
Private room,2,Cabin,La La Land,Iron Islands,25.0,30.0,3/1/18
Entire home/apt,10,House,Westland,Springfield,2.0,22.0,3/1/18
Entire home/apt,6,House,Essos,Pike's Peak,8.0,25.0,3/1/18
Entire home/apt,10,Apartment,La La Land,Hornhill,3.0,5.0,3/1/18
Entire home/apt,7,House,Southland,Lannisport,13.0,166.0,3/1/18
Entire home/apt,4,Apartment,La La Land,Iron Islands,38.0,57.0,3/1/18
Private room,2,Apartment,Southland,Dorne,36.0,193.0,3/1/18
Entire home/apt,4,Apartment,Southland,Dorne,63.0,135.0,3/1/18
Entire home/apt,8,Cabin,Westland,Springfield,1.0,24.0,3/1/18
Entire home/apt,4,Apartment,Essos,Bear Island,6.0,21.0,3/1/18
Entire home/apt,6,Apartment,Westland,Springfield,9.0,29.0,3/1/18
Private room,4,House,Hogwarts,Crownland,25.0,40.0,3/1/18
Private room,4,Hotel,Westland,Springfield,5.0,30.0,3/1/18
Entire home/apt,5,House,Hogwarts,Dragonstone,21.0,24.0,3/1/18
Private room,2,House,Westland,Springfield,19.0,25.0,3/1/18
Entire home/apt,3,House,Westland,Springfield,3.0,8.0,3/1/18
Entire home/apt,4,House,Southland,Dorne,175.0,189.0,3/1/18
Entire home/apt,5,House,Westland,Springfield,14.0,23.0,3/1/18
Entire home/apt,8,House,Hogwarts,Dragonstone,3.0,32.0,3/1/18
Entire home/apt,2,Cabin,Essos,Bear Island,10.0,17.0,3/1/18
Private room,1,House,Westland,Westeros,19.0,35.0,3/1/18
Entire home/apt,2,Cabin,Southland,Dorne,22.0,103.0,3/1/18
Entire home/apt,2,Apartment,Westland,Springfield,17.0,29.0,3/1/18
Entire home/apt,2,Apartment,Essos,Pike's Peak,72.0,72.0,4/1/18
Entire home/apt,14,Cabin,Westland,Springfield,4.0,34.0,4/1/18
Entire home/apt,8,Cabin,Westland,Springfield,3.0,34.0,4/1/18
Entire home/apt,6,Apartment,Essos,Pike's Peak,22.0,60.0,4/1/18
Entire home/apt,4,Apartment,La La Land,Oldtown,12.0,16.0,4/1/18
Entire home/apt,3,Apartment,Essos,Pike's Peak,22.0,72.0,4/1/18
Private room,6,House,Westland,Westeros,19.0,40.0,4/1/18
Entire home/apt,3,Apartment,Hogwarts,Dragonstone,3.0,10.0,4/1/18
Entire home/apt,2,House,La La Land,Iron Islands,1.0,13.0,4/1/18
Entire home/apt,3,House,Westland,Springfield,20.0,29.0,4/1/18
Entire home/apt,3,Cabin,Westland,Springfield,29.0,34.0,4/1/18
Entire home/apt,3,Apartment,Westland,Springfield,29.0,33.0,4/1/18
Private room,2,House,Westland,Springfield,28.0,34.0,4/1/18
Private room,2,House,Westland,Springfield,1.0,33.0,4/1/18
Private room,2,Apartment,Westland,Springfield,13.0,30.0,4/1/18
Entire home/apt,3,Cabin,Westland,Westeros,8.0,40.0,4/1/18
Entire home/apt,1,House,Westland,Springfield,29.0,34.0,4/1/18
Entire home/apt,6,Apartment,Essos,Bear Island,13.0,53.0,4/1/18
Entire home/apt,11,House,Westland,Springfield,14.0,31.0,4/1/18
Entire home/apt,6,House,Westland,Springfield,2.0,18.0,4/1/18
Entire home/apt,6,House,Southland,River run,26.0,260.0,4/1/18
Entire home/apt,8,House,Hogwarts,Dragonstone,7.0,51.0,4/1/18
Entire home/apt,2,Apartment,La La Land,Iron Islands,15.0,15.0,4/1/18
Private room,2,House,Westland,Springfield,3.0,33.0,4/1/18
Entire home/apt,2,Apartment,Westland,Springfield,10.0,34.0,4/1/18
Entire home/apt,6,House,Westland,Springfield,23.0,31.0,4/1/18
Entire home/apt,2,Cabin,Westland,Springfield,20.0,31.0,4/1/18
Entire home/apt,4,Cabin,Westland,Springfield,2.0,31.0,4/1/18
Entire home/apt,2,Apartment,Essos,Bear Island,53.0,53.0,4/1/18
Entire home/apt,4,Apartment,La La Land,Iron Islands,3.0,12.0,4/1/18
Entire home/apt,2,Apartment,Westland,Springfield,16.0,28.0,4/1/18
Entire home/apt,6,Cabin,Westland,Springfield,4.0,34.0,4/1/18
Entire home/apt,3,Apartment,Southland,King's Landing,29.0,374.0,4/1/18
Private room,1,House,Westland,Westeros,3.0,40.0,4/1/18
Entire home/apt,9,House,La La Land,Oldtown,7.0,7.0,4/1/18
Entire home/apt,2,Cabin,Westland,Springfield,1.0,1.0,4/1/18
Entire home/apt,5,Cabin,Southland,King's Landing,8.0,187.0,4/1/18
Entire home/apt,6,House,Westland,Springfield,7.0,30.0,4/1/18
Entire home/apt,4,Cabin,Westland,Springfield,8.0,31.0,4/1/18
Entire home/apt,5,Apartment,Hogwarts,Dragonstone,39.0,53.0,4/1/18
Entire home/apt,5,Apartment,Westland,Springfield,7.0,33.0,4/1/18
Entire home/apt,5,House,Westland,Westeros,1.0,40.0,4/1/18
Entire home/apt,6,Apartment,Westland,Springfield,5.0,28.0,4/1/18
Entire home/apt,2,Apartment,La La Land,Iron Islands,1.0,15.0,4/1/18
Entire home/apt,8,Cabin,Westland,Springfield,22.0,34.0,4/1/18
Entire home/apt,6,Cabin,Essos,Bear Island,5.0,23.0,4/1/18
Entire home/apt,12,House,Westland,Westeros,9.0,28.0,4/1/18
Entire home/apt,8,House,Westland,Springfield,3.0,33.0,4/1/18
Entire home/apt,4,Cabin,Westland,Springfield,26.0,34.0,4/1/18
Entire home/apt,3,Cabin,Westland,Springfield,21.0,29.0,4/1/18
Entire home/apt,7,House,Southland,Dorne,155.0,211.0,4/1/18
Entire home/apt,8,House,Westland,Springfield,13.0,31.0,4/1/18
Entire home/apt,4,Apartment,La La Land,Iron Islands,9.0,12.0,4/1/18
Entire home/apt,4,Apartment,Westland,Westeros,19.0,41.0,4/1/18
Entire home/apt,2,Apartment,Essos,Pike's Peak,39.0,70.0,4/1/18
Entire home/apt,4,Apartment,Southland,King's Landing,240.0,374.0,4/1/18
Entire home/apt,6,House,Essos,Bear Island,6.0,53.0,4/1/18
Entire home/apt,6,Apartment,Essos,Pike's Peak,37.0,57.0,4/1/18
Entire home/apt,8,House,Westland,Springfield,27.0,31.0,4/1/18
Entire home/apt,5,Cabin,Hogwarts,Dragonstone,41.0,53.0,4/1/18
Entire home/apt,16,Apartment,Westland,Westeros,1.0,41.0,4/1/18
Private room,2,Cabin,Southland,Dorne,8.0,410.0,4/1/18
Entire home/apt,4,Cabin,La La Land,Iron Islands,1.0,14.0,4/1/18
Entire home/apt,10,House,Essos,Pike's Peak,64.0,72.0,4/1/18
Entire home/apt,2,Cabin,Westland,Springfield,18.0,22.0,4/1/18
Private room,1,House,Westland,Springfield,5.0,8.0,4/1/18
Entire home/apt,2,Cabin,La La Land,Iron Islands,8.0,15.0,4/1/18
Entire home/apt,2,Apartment,La La Land,Iron Islands,14.0,14.0,4/1/18
Entire home/apt,2,Apartment,Essos,Pike's Peak,54.0,72.0,4/1/18
Entire home/apt,2,Apartment,La La Land,Iron Islands,7.0,7.0,4/1/18
Entire home/apt,5,House,Hogwarts,Dragonstone,29.0,55.0,4/1/18
Entire home/apt,6,House,Southland,King's Landing,155.0,199.0,4/1/18
Entire home/apt,5,Cabin,Westland,Springfield,15.0,34.0,4/1/18
Entire home/apt,4,Apartment,La La Land,Iron Islands,1.0,15.0,4/1/18
Entire home/apt,6,Apartment,Westland,Springfield,15.0,33.0,4/1/18
Entire home/apt,4,Apartment,Southland,Dorne,143.0,240.0,4/1/18
Entire home/apt,4,Apartment,Westland,Springfield,1.0,5.0,4/1/18
Entire home/apt,5,Apartment,Westland,Springfield,2.0,34.0,4/1/18
Entire home/apt,2,Cabin,Westland,Springfield,25.0,29.0,4/1/18
Entire home/apt,4,Cabin,Westland,Springfield,16.0,31.0,4/1/18
Entire home/apt,6,House,Westland,Westeros,16.0,39.0,4/1/18
Entire home/apt,4,Apartment,Southland,King's Landing,64.0,348.0,4/1/18
Entire home/apt,8,Apartment,La La Land,Oldtown,12.0,19.0,4/1/18
Entire home/apt,15,House,Westland,Springfield,7.0,8.0,4/1/18
Entire home/apt,7,House,Westland,Springfield,1.0,2.0,4/1/18
Entire home/apt,4,House,Westland,Springfield,17.0,31.0,4/1/18
Entire home/apt,6,House,Westland,Springfield,4.0,28.0,4/1/18
Entire home/apt,2,Apartment,Westland,Springfield,26.0,34.0,4/1/18
Entire home/apt,2,Apartment,Southland,Dorne,289.0,410.0,4/1/18
Entire home/apt,8,House,Hogwarts,Dragonstone,3.0,62.0,4/1/18
Entire home/apt,6,House,Westland,Springfield,4.0,34.0,4/1/18
Entire home/apt,6,House,Westland,Springfield,10.0,23.0,4/1/18
Entire home/apt,2,Apartment,Westland,Springfield,12.0,26.0,4/1/18
Entire home/apt,4,Apartment,Westland,Westeros,18.0,38.0,4/1/18
Entire home/apt,6,Apartment,Westland,Springfield,11.0,31.0,4/1/18
Entire home/apt,3,Apartment,Westland,Springfield,29.0,34.0,4/1/18
Entire home/apt,8,Cabin,Essos,Bear Island,9.0,51.0,4/1/18
Entire home/apt,8,House,Westland,Springfield,1.0,34.0,4/1/18
Entire home/apt,8,House,Hogwarts,Dragonstone,13.0,27.0,4/1/18
Entire home/apt,10,House,Westland,Springfield,1.0,31.0,4/1/18
Entire home/apt,5,House,Westland,Springfield,29.0,34.0,4/1/18
Entire home/apt,10,Cabin,Westland,Springfield,3.0,34.0,4/1/18
Entire home/apt,4,Cabin,Westland,Westeros,5.0,27.0,4/1/18
Entire home/apt,4,House,Westland,Springfield,9.0,34.0,4/1/18
Entire home/apt,8,Cabin,Westland,Springfield,12.0,19.0,4/1/18
Entire home/apt,4,Apartment,Westland,Springfield,27.0,33.0,4/1/18
Entire home/apt,2,Apartment,Southland,Lannisport,404.0,629.0,4/1/18
Entire home/apt,16,Cabin,Essos,Pike's Peak,57.0,58.0,4/1/18
Entire home/apt,4,Apartment,Hogwarts,Dragonstone,41.0,59.0,4/1/18
Entire home/apt,8,Apartment,Westland,Springfield,21.0,29.0,4/1/18
Entire home/apt,6,Cabin,Westland,Springfield,2.0,9.0,4/1/18
Entire home/apt,8,House,Essos,Bear Island,29.0,53.0,4/1/18
Private room,1,House,Westland,Springfield,29.0,34.0,4/1/18
Entire home/apt,6,Apartment,Westland,Springfield,29.0,34.0,4/1/18
Hotel room,3,Hotel,Hogwarts,Crownland,65.0,99.0,4/1/18
Entire home/apt,9,House,Westland,Springfield,3.0,15.0,4/1/18
Entire home/apt,8,House,Westland,Springfield,27.0,33.0,4/1/18
Entire home/apt,2,Apartment,Westland,Springfield,29.0,34.0,4/1/18
Private room,1,House,Westland,Springfield,10.0,34.0,4/1/18
Entire home/apt,4,Cabin,Westland,Springfield,1.0,30.0,4/1/18
Entire home/apt,2,Apartment,La La Land,Iron Islands,14.0,14.0,4/1/18
Entire home/apt,6,House,La La Land,Oldtown,10.0,18.0,4/1/18
Entire home/apt,6,Apartment,Essos,Bear Island,53.0,53.0,4/1/18
Entire home/apt,4,Apartment,Essos,Bear Island,2.0,42.0,4/1/18
Entire home/apt,2,House,Westland,Springfield,27.0,34.0,4/1/18
Entire home/apt,4,Apartment,Westland,Springfield,21.0,33.0,4/1/18
Private room,2,Cabin,La La Land,Iron Islands,8.0,8.0,4/1/18
Entire home/apt,4,Apartment,La La Land,Oldtown,5.0,14.0,4/1/18
Entire home/apt,4,House,Westland,Springfield,2.0,13.0,4/1/18
Entire home/apt,5,House,Westland,Springfield,14.0,25.0,4/1/18
